,date,home_win,p_ml_away_final,r_log_win_actual_payout,r_log_win_actual_payout_adj,r_lin_win_actual_payout,r_lin_win_actual_payout_adj,log_o6_final,log_o7_final,log_o8_final,log_o6_final_adj,log_o7_final_adj,log_o8_final_adj,lin_o6_final,lin_o7_final,lin_o8_final,lin_o6_final_adj,lin_o7_final_adj,lin_o8_final_adj
105,2010-08-17,7,866.0,351.84000000000003,484.58000000000004,-323.53,-516.5799999999999,0.0,74.2,-289.0,0.0,-150.61,-478.0,0.0,-107.41,-125.06,0.0,70.37,-341.02
106,2010-08-18,8,1357.0,332.59000000000003,962.6099999999999,-82.50000000000001,-512.0199999999996,0.0,1.25,-107.41,0.0,-8.090000000000032,-214.81,0.0,184.57999999999998,-82.0,0.0,541.91,-382.0
107,2010-08-19,4,634.0,-351.83,-611.88,-35.780000000000015,-1036.5800000000002,0.0,0.0,-192.0,0.0,0.0,-76.0,0.0,0.0,-192.0,0.0,0.0,-76.0
108,2010-08-20,3,159.0,323.26,1449.6699999999996,12.439999999999984,-104.38999999999999,0.0,87.72,-100.0,0.0,438.6,-300.0,0.0,-100.0,95.24,0.0,-500.0,285.71
109,2010-08-21,11,-151.0,7.329999999999984,719.99,-789.9300000000001,-2324.63,0.0,322.0,259.34000000000003,0.0,636.0,259.34000000000003,0.0,-94.0,-118.7,0.0,-188.0,-118.7
110,2010-08-22,7,796.0,274.14,1178.8999999999999,833.8399999999999,3489.6000000000004,0.0,-13.040000000000006,-98.0,0.0,147.82999999999998,-394.0,0.0,-200.0,-98.0,0.0,-600.0,-394.0
111,2010-08-23,2,484.0,28.390000000000015,363.22,-339.02,-739.02,0.0,0.0,82.79,0.0,0.0,435.06000000000006,0.0,0.0,-101.96,0.0,0.0,-303.91999999999996
112,2010-08-24,6,3.0,-403.26,-1991.75,533.77,2167.5899999999997,102.0,-121.88,170.48,306.0,-187.5,327.96,102.0,-121.88,-200.0,306.0,-187.5,-400.0
113,2010-08-25,7,339.0,282.51,1374.8600000000004,359.92,242.49000000000004,0.0,270.83,-135.25,0.0,343.65999999999997,-650.51,0.0,-309.90999999999997,-316.24,0.0,-819.8199999999999,-831.5
114,2010-08-26,3,726.0,-480.86,-620.5799999999999,-158.0,-1399.0,0.0,300.76,98.34,0.0,415.76000000000005,508.68000000000006,0.0,-101.96,-300.0,0.0,-201.95999999999998,-900.0
115,2010-08-27,4,699.0,151.99,397.1400000000002,-302.97,-1014.8600000000001,0.0,-200.0,-201.95999999999998,0.0,-700.0,-701.96,0.0,0.0,203.63,0.0,300.0,555.63
116,2010-08-28,7,1159.0,115.76000000000003,791.74,384.28,1147.38,-100.0,210.10000000000002,75.32999999999998,-100.0,650.12,919.1799999999998,-100.0,401.84000000000003,-99.85,-100.0,1225.35,-383.85
117,2010-08-29,8,951.0,-598.28,-2756.4999999999995,11.670000000000016,-209.73000000000002,-100.0,-110.28,-200.0,-100.0,85.44,-600.0,99.01,73.05,167.41000000000003,99.01,268.77,513.39
118,2010-08-30,4,594.0,71.87,286.3,-108.12999999999997,106.3,0.0,0.0,-100.0,0.0,0.0,-400.0,0.0,0.0,86.20999999999998,0.0,0.0,-27.590000000000032
119,2010-08-31,10,-172.0,-176.13,-727.2099999999998,-33.099999999999994,-133.33999999999986,106.0,-10.280000000000001,174.95,530.0,-106.28,-46.25,106.0,-10.280000000000001,-213.79000000000002,530.0,-106.28,-627.59
120,2010-09-01,10,1085.0,318.43,477.8399999999999,35.41,919.6299999999999,200.75,-200.0,65.69999999999999,655.73,-500.0,110.13,200.75,-200.0,88.95999999999998,655.73,-500.0,-224.09000000000003
121,2010-09-02,1,189.0,23.269999999999996,215.57,-73.0,-473.0,0.0,120.0,84.75,0.0,120.0,254.24,0.0,120.0,84.75,0.0,120.0,254.24
122,2010-09-03,5,280.0,269.26,337.72999999999996,-264.86,-504.5,0.0,83.33,-109.91,0.0,83.33,-329.73,0.0,-100.0,99.09,0.0,-100.0,-120.73000000000002
